,Missing States,x,y
0,Arizona,-203,-40
1,Colorado,-112,20
2,Connecticut,297,96
3,Delaware,275,42
4,Georgia,182,-75
5,Hawaii,-317,-143
6,Idaho,-216,122
7,Illinois,95,37
8,Indiana,133,39
9,Kansas,-17,5
10,Louisiana,59,-114
11,Maine,319,164
12,Massachusetts,312,112
13,Michigan,148,101
14,Minnesota,23,135
15,Montana,-141,150
16,Nebraska,-61,66
17,New Hampshire,302,127
18,New Jersey,282,65
19,New Mexico,-128,-43
20,New York,236,104
21,North Carolina,239,-22
22,North Dakota,-44,158
23,Ohio,176,52
24,Oklahoma,-8,-41
25,Oregon,-278,138
26,Pennsylvania,238,72
27,Rhode Island,318,94
28,South Carolina,218,-51
29,Tennessee,131,-34
30,Texas,-38,-106
31,Utah,-189,34
32,Vermont,282,154
33,Virginia,234,12
34,West Virginia,200,20
35,Wisconsin,83,113
36,Wyoming,-134,90
